Epoch,TrainLoss,ValidationLoss,TrainAccuracy,ValidationAccuracy
1,3.459855794906616,3.311246156692505,0.0020050502813226175,0.002365753801799163
2,3.279881477355957,3.3317956924438477,0.0024158279583789645,0.002272546738222101
3,3.301971673965454,3.3021669387817383,0.001569407980566318,0.00199624267403324
4,3.4447853565216064,3.366873264312744,0.002055129129326796,0.0025641809211586057
5,3.43704891204834,3.2355568408966064,0.0025292817544190715,0.003967126655488458
6,3.2084732055664062,3.1627464294433594,0.0035656656710218496,0.003468253086352618
7,3.1212894916534424,3.4358673095703125,0.005572975517187011,0.003678014182722888
8,3.237104892730713,3.3530850410461426,0.006771853792587085,0.009877204243061695
9,3.397627830505371,3.330587863922119,0.014541647741591368,0.009321520257725228
10,3.3396527767181396,3.0157525539398193,0.013608038269200953,0.010492145649434029
11,3.140331983566284,2.960374593734741,0.011746427322348601,0.014310907946061689
12,3.3170440196990967,3.1572227478027344,0.011334993998446882,0.014687881737745642
13,3.143786907196045,3.1986637115478516,0.009194635524880496,0.010582371602789273
14,3.1082003116607666,3.178765296936035,0.018515879566729825,0.013401761825402505
15,3.087766647338867,3.2712395191192627,0.020579799250746975,0.021646093221621577
16,3.2191720008850098,3.0593013763427734,0.016853732484531998,0.014071899498559717
17,3.127195358276367,3.0681910514831543,0.005251787642240469,0.015686622876640466
18,3.3522579669952393,2.9493541717529297,0.02393135372397614,0.0163428391217502
19,2.878291606903076,3.156766414642334,0.014807581760190976,0.010798055056741127
20,2.920637369155884,2.8917455673217773,0.017631902615122288,0.016355753379634085
21,3.232156991958618,3.3064630031585693,0.018927637279278903,0.015117366604507165
22,3.1492486000061035,3.1658952236175537,0.0255164968821744,0.020958946763233434
23,2.859417200088501,3.3019602298736572,0.018988479757278888,0.029875217655999143
24,2.879422187805176,3.2432825565338135,0.016443210666839132,0.017233034968170458
25,2.8164305686950684,3.2985594272613525,0.02166408530159273,0.023902575366834912
26,3.306631326675415,2.993720531463623,0.02188271228681612,0.02199830751231808
27,3.2537715435028076,2.9266271591186523,0.019445122337996473,0.022555380525202482
28,2.959177255630493,3.0378036499023438,0.014293054651556688,0.02912959569806097
29,3.0736794471740723,2.9766788482666016,0.02633382982396784,0.029556984918857176
30,3.2200393676757812,3.0315890312194824,0.021725152663864655,0.024875616598766668
31,3.156754970550537,2.888233184814453,0.019750926493491035,0.022400534098784848
32,3.0938806533813477,2.7074520587921143,0.022080717682401517,0.03318107311957863
33,3.1584184169769287,2.848214864730835,0.015144961182235711,0.022991971118356477
34,2.803837537765503,3.1304500102996826,0.028989358410914483,0.03388099992043523
35,3.0476760864257812,3.027844190597534,0.031107720497532947,0.030506610645621234
36,3.2125444412231445,3.1388070583343506,0.024953678887292313,0.02773536750823628
37,3.261348247528076,2.6796810626983643,0.0202806863127664,0.026487119494420848
38,2.896564483642578,2.9318950176239014,0.02436142912855472,0.028725914237108952
39,2.9610838890075684,2.899686336517334,0.022654011350297366,0.02946513736311728
40,3.1674606800079346,2.8504834175109863,0.02180528682909915,0.030270440455547516
