Epoch ,TrainLoss   ,ValidationLoss ,TrainAccuracy ,ValidationAccuracy
   49 ,3.007437229 ,   1.935066938 ,  0.021278943 ,       0.022512245
   50 ,0.172086626 ,   0.198915616 ,  0.02282035  ,       0.022134637
   51 ,3.344702721 ,   0.15728581  ,  0.021411067 ,       0.020654119
   52 ,0.167087823 ,   0.94742626  ,  0.020162776 ,       0.020249098
   53 ,0.2657592   ,   0.254223764 ,  0.021099966 ,       0.022698872
   54 ,0.208155572 ,   2.15421772  ,  0.021697417 ,       0.022159641
   55 ,0.151700929 ,   0.435979396 ,  0.021010745 ,       0.022993751
   56 ,0.379816145 ,   0.200910032 ,  0.017888191 ,       0.020635966
   57 ,0.192713559 ,   2.34510684  ,  0.021705767 ,       0.022309186
   58 ,0.144625545 ,   2.001746178 ,  0.020948531 ,       0.02252715
   59 ,0.347254753 ,   0.145296305 ,  0.022659556 ,       0.023201405
   60 ,3.070884705 ,   0.130470574 ,  0.021477381 ,       0.020093607
   61 ,0.325009525 ,   2.587560415 ,  0.02029275  ,       0.020799502
   62 ,0.136354357 ,   2.857149124 ,  0.020543801 ,       0.02163345
   63 ,2.008660078 ,   0.132439569 ,  0.020660358 ,       0.02414346
   64 ,2.937809467 ,   0.432805538 ,  0.019508243 ,       0.019827896
   65 ,0.315443039 ,   4.277308941 ,  0.022993008 ,       0.02347561
   66 ,0.275103927 ,   0.309380889 ,  0.023713685 ,       0.023430082
   67 ,0.338798404 ,   1.844744921 ,  0.02038473  ,       0.021421614
   68 ,0.446429908 ,   2.231703758 ,  0.021704981 ,       0.023155504
   69 ,0.139876947 ,   0.106980979 ,  0.016654106 ,       0.020165015
   70 ,0.113388374 ,   0.330640972 ,  0.017591065 ,       0.020860703
   71 ,0.341965914 ,   3.254945993 ,  0.021340926 ,       0.021985358
   72 ,4.018148422 ,   0.249692202 ,  0.020200084 ,       0.024260989
   73 ,1.112797022 ,   1.567878962 ,  0.021112045 ,       0.021254295
   74 ,2.851987123 ,   2.090165138 ,  0.017934344 ,       0.017942577
   75 ,1.585185051 ,   0.276569307 ,  0.019275492 ,       0.021659835
   76 ,0.493012697 ,   0.241625428 ,  0.022371881 ,       0.022673545
   77 ,0.247529671 ,   0.09540952  ,  0.020417973 ,       0.019232299
   78 ,3.032317162 ,   0.093609065 ,  0.021991351 ,       0.023088128
   79 ,1.920248747 ,   0.15347299  ,  0.020376072 ,       0.021332983
   80 ,0.082027815 ,   3.634700537 ,  0.017799607 ,       0.022562066
   81 ,0.216345698 ,   0.207834929 ,  0.017053574 ,       0.018893495
   82 ,0.512424469 ,   0.146875754 ,  0.020060145 ,       0.020561863
   83 ,0.459400982 ,   0.16772756  ,  0.021844272 ,       0.019700504
   84 ,0.257224798 ,   1.900690436 ,  0.02162132  ,       0.02015292
   85 ,0.136728421 ,   0.082726702 ,  0.021006536 ,       0.023295034
   86 ,2.785223484 ,   0.206983358 ,  0.023828625 ,       0.023563656
   87 ,2.216423512 ,   0.083924815 ,  0.017818585 ,       0.019633309
   88 ,0.623059154 ,   1.610381365 ,  0.023585423 ,       0.023815254
   89 ,0.210083991 ,   1.452565193 ,  0.019941382 ,       0.020634403
   90 ,0.205494225 ,   0.195253238 ,  0.019245892 ,       0.021523978
   91 ,1.777711034 ,   1.459671021 ,  0.024199393 ,       0.020935284
   92 ,0.200928956 ,   2.588074923 ,  0.021215569 ,       0.022623652
   93 ,1.666498899 ,   2.157256126 ,  0.020992066 ,       0.021015022
   94 ,0.184712127 ,   2.879081964 ,  0.021091093 ,       0.019857424
   95 ,1.080780029 ,   2.662605524 ,  0.017915512 ,       0.018392233
   96 ,0.064919971 ,   1.667210937 ,  0.024933565 ,       0.024394225
   97 ,3.443413019 ,   2.106563568 ,  0.022334351 ,       0.023290342
   98 ,1.163982987 ,   0.432315052 ,  0.01964074  ,       0.022293704
   99 ,1.77115953  ,   0.054566454 ,  0.020414479 ,       0.021181467
  100 ,0.147823066 ,   2.085670471 ,  0.02088459  ,       0.021911557
  101 ,2.596271753 ,   0.484586924 ,  0.017727197 ,       0.019498154
  102 ,2.997240543 ,   0.126081407 ,  0.024520247 ,       0.024874751
  103 ,0.119612426 ,   3.608328342 ,  0.020845592 ,       0.024212749
  104 ,1.489519358 ,   0.344232976 ,  0.020295179 ,       0.02027669
  105 ,0.342959106 ,   0.075800546 ,  0.02103697  ,       0.018750198
  106 ,3.010958672 ,   1.856953979 ,  0.020831533 ,       0.020453443
  107 ,0.075157747 ,   0.655155659 ,  0.021952325 ,       0.019446131
  108 ,1.359756589 ,   2.026878834 ,  0.0206586   ,       0.020119837
  109 ,0.205101073 ,   0.121405765 ,  0.022743203 ,       0.02146114
  110 ,0.112262458 ,   0.343294203 ,  0.022114255 ,       0.020782063
  111 ,1.555074334 ,   3.644768    ,  0.021269554 ,       0.020457993
  112 ,0.095967159 ,   3.595139503 ,  0.021323909 ,       0.022852086
  113 ,1.935779333 ,   3.499348402 ,  0.020201509 ,       0.020563011
  114 ,0.059986234 ,   0.628287435 ,  0.020548857 ,       0.019993511
  115 ,1.904878616 ,   0.210881919 ,  0.022716444 ,       0.025319241
  116 ,2.023892403 ,   0.166316807 ,  0.022600545 ,       0.020483995
  117 ,2.006636858 ,   3.94968605  ,  0.018939023 ,       0.022974811
  118 ,2.917328358 ,   0.110466406 ,  0.021366604 ,       0.02162882
  119 ,2.588032722 ,   1.925197959 ,  0.018182737 ,       0.020773367
  120 ,0.053909428 ,   1.283167005 ,  0.021956427 ,       0.021845484
  121 ,3.323159695 ,   0.305497408 ,  0.022550482 ,       0.019392211
  122 ,0.052678898 ,   0.092997946 ,  0.023429004 ,       0.020679512
  123 ,0.052187108 ,   1.53834641  ,  0.023536739 ,       0.022226448
  124 ,1.355868459 ,   1.985014439 ,  0.021416657 ,       0.019795405
  125 ,3.227407694 ,   0.361172318 ,  0.017963999 ,       0.021092325
  126 ,0.108658463 ,   2.704679728 ,  0.020353634 ,       0.021725866
  127 ,0.04857222  ,   0.081646167 ,  0.020050729 ,       0.022215507
  128 ,1.21491766  ,   0.107443139 ,  0.018544631 ,       0.018359306
  129 ,1.03198719  ,   0.055625711 ,  0.023648637 ,       0.023948941
  130 ,0.04598625  ,   1.843588829 ,  0.019121127 ,       0.020613823
  131 ,0.050761312 ,   0.279893458 ,  0.019097389 ,       0.017357011
  132 ,0.043395046 ,   0.291837215 ,  0.023317037 ,       0.021591155
  133 ,0.316154599 ,   1.07877636  ,  0.02177559  ,       0.022968208
  134 ,1.481641769 ,   2.027165174 ,  0.019867315 ,       0.022461261
  135 ,2.317700386 ,   0.209908217 ,  0.020234145 ,       0.019975686
  136 ,1.549417973 ,   0.560288668 ,  0.018575098 ,       0.01836968
  137 ,1.422508955 ,   1.324778557 ,  0.020073838 ,       0.016987894
  138 ,1.308213711 ,   1.067178607 ,  0.022208942 ,       0.024807689
